Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep) 
 01/21  05:10:00,3.8,100.0,0.0,0.0,20.0,37.849493836679609,20.0,23.0,100.0,47.62081502182045,630173.8010087774,0.0,630173.8010087774,2.0,630173.8010087774,0.0,506807.85922878907,0.0,630173.8010087774,0.0 
 01/21  05:15:00,3.8,100.0,0.0,0.0,20.0,37.85090953906709,20.0,23.0,100.0,47.62103178785452,629115.0816366586,0.0,629115.0816366586,2.0,629115.0816366586,0.0,505749.1398566703,0.0,629115.0816366586,0.0 
 01/21  05:20:00,3.8,100.0,0.0,0.0,19.999999999999998,37.85228366515985,20.0,23.0,100.0,47.62120461562105,628209.7411528262,0.0,628209.7411528262,2.0,628209.7411528262,0.0,504843.7993728379,0.0,628209.7411528262,0.0 
 01/21  05:25:00,3.8,100.0,0.0,0.0,20.0,37.853610862518078,20.0,23.0,100.0,47.62134815108071,627410.3749678865,0.0,627410.3749678865,2.0,627410.3749678865,0.0,504044.4331878982,0.0,627410.3749678865,0.0 
 01/21  05:30:00,3.8,100.0,0.0,0.0,20.000000000000005,37.85489915339218,20.0,23.0,100.0,47.621471181860957,626696.3038598964,0.0,626696.3038598964,2.0,626696.3038598964,0.0,503330.36207990816,0.0,626696.3038598964,0.0 
 01/21  05:35:00,3.8,100.0,0.0,0.0,20.0,37.85614757493517,20.0,23.0,100.0,47.62156199052239,626150.6816874772,0.0,626150.6816874772,2.0,626150.6816874772,0.0,502784.73990748889,0.0,626150.6816874772,0.0 
 01/21  05:40:00,3.8,100.0,0.0,0.0,20.0,37.857357361004208,20.0,23.0,100.0,47.62162204151832,625649.0343618793,0.0,625649.0343618793,2.0,625649.0343618793,0.0,502283.092581891,0.0,625649.0343618793,0.0 
 01/21  05:45:00,3.8,100.0,0.0,0.0,20.0,37.85852970727142,20.0,23.0,100.0,47.62166305200309,625164.6689676072,0.0,625164.6689676072,2.0,625164.6689676072,0.0,501798.72718761887,0.0,625164.6689676072,0.0 
 01/21  05:50:00,3.8,100.0,0.0,0.0,19.999999999999998,37.859668008950638,20.0,23.0,100.0,47.621689415907329,624712.0315451137,0.0,624712.0315451137,2.0,624712.0315451137,0.0,501346.0897651254,0.0,624712.0315451137,0.0 
 01/21  05:55:00,3.8,100.0,0.0,0.0,19.999999999999998,37.860768915828028,20.0,23.0,100.0,47.621698203878988,624292.0938393934,0.0,624292.0938393934,2.0,624292.0938393934,0.0,500926.15205940508,0.0,624292.0938393934,0.0 
